rainfall,humidity,temperature,wind_speed,pressure,visibility,risk
36.6,77.1,10.2,11.9,1012.6,8216,Medium
51.2,87.6,24.7,1.3,1006.8,4453,Medium
38.7,93.8,29.8,29.7,1002.9,1849,High
47.8,83.9,14.4,11.9,1019.4,2631,Medium
37.8,67.0,17.2,4.6,988.8,1589,Medium
69.9,67.5,34.7,6.8,1006.6,9111,High
75.9,47.9,14.9,24.6,1014.8,5348,High
0.2,88.1,7.1,28.4,987.1,7923,Medium
22.2,49.0,26.0,10.2,986.1,1654,Low
73.5,65.3,33.5,13.6,1012.2,1735,High
29.7,63.6,7.1,0.8,992.6,6564,Low
85.7,99.9,23.9,17.0,1020.7,4204,High
25.2,75.3,9.5,21.2,989.4,4971,Low
52.6,68.0,31.3,17.2,990.2,4743,Medium
48.8,81.8,23.6,22.0,1020.9,4343,Medium
13.8,40.1,30.3,6.9,997.5,4457,Low
36.7,60.8,7.5,27.3,1005.1,898,Medium
8.6,67.5,31.4,24.5,1015.8,7451,Low
36.2,62.5,15.1,13.4,1022.8,8683,Medium
99.9,54.1,33.8,24.1,1006.5,652,High
45.6,58.0,31.1,7.8,1011.2,3605,Medium
89.5,97.7,28.5,4.1,982.8,3662,High
18.7,58.1,27.4,15.2,988.9,4306,Low
72.4,94.2,15.8,10.3,1000.9,7490,High
97.7,40.4,23.5,23.0,1010.5,2641,High
39.2,92.7,13.8,12.9,997.9,9324,Medium
18.2,98.8,7.9,10.6,1004.5,7062,Medium
29.8,75.1,13.7,14.4,1008.6,8584,Low
41.9,95.1,17.7,13.9,999.2,3438,Medium
99.4,78.9,33.2,0.9,994.9,2033,High
60.8,56.0,33.5,27.4,986.3,9729,High
67.6,57.6,29.7,15.8,1015.3,8839,High
35.8,78.0,18.1,8.2,1006.1,8067,Medium
60.5,53.6,33.2,2.5,1002.6,5010,High
41.0,50.7,18.2,27.1,1008.1,5423,Medium
68.4,44.7,23.2,24.3,1020.8,1028,High
37.1,62.7,11.5,8.6,1017.7,5785,Medium
42.1,90.9,17.7,28.7,1002.1,3029,Medium
58.2,95.6,11.7,0.6,1002.8,3878,Medium
61.8,59.7,25.6,17.1,996.7,9641,High
62.4,71.9,23.5,18.0,1009.3,9953,High
71.6,79.9,27.6,23.0,1017.5,8303,High
75.1,86.2,29.0,8.0,988.0,3028,High
72.1,80.8,22.0,26.0,1008.3,5051,High
97.5,85.6,21.3,23.3,986.7,5899,High
51.7,93.1,23.9,15.8,1016.5,6033,Medium
92.9,89.2,25.6,27.7,1017.2,5052,High
57.9,71.8,28.9,20.7,1020.0,7998,Medium
60.1,43.4,25.7,20.6,1014.8,4220,High
5.3,41.5,11.4,16.2,1003.5,1638,Low
59.2,78.0,6.3,6.3,984.8,4310,Medium
57.4,77.2,7.8,17.1,1000.2,6382,Medium
1.0,46.7,9.2,22.8,1016.3,612,Low
2.9,76.7,6.4,28.0,981.0,1674,Low
9.2,75.8,18.0,29.5,992.4,9363,Low
34.3,84.7,23.8,26.0,1013.5,1550,Medium
37.7,49.5,7.7,5.4,1024.8,6678,Medium
9.3,81.5,20.7,19.3,1014.3,3471,Medium
10.3,80.3,14.1,22.8,994.5,3233,Medium
20.8,96.4,13.6,19.6,990.5,2948,Medium
27.5,49.0,11.5,6.6,994.2,9853,Low
15.3,86.4,26.4,6.9,988.9,9047,Medium
92.8,65.1,32.9,17.6,1020.3,9313,High
31.4,64.7,27.8,1.3,994.0,8212,Medium
57.3,84.0,16.1,13.2,985.7,2899,Medium
34.6,53.8,31.9,13.7,999.6,7475,Medium
89.1,54.8,28.0,25.4,984.6,7376,High
50.2,99.3,14.8,18.4,1014.1,6519,Medium
47.6,94.4,29.3,12.5,1021.3,2766,Medium
42.0,89.5,6.0,17.1,985.2,6776,Medium
19.3,83.9,22.6,9.3,1000.2,861,Medium
77.1,44.3,11.1,9.9,1019.6,6632,High
63.1,82.1,33.8,11.9,1022.8,9602,High
42.3,58.2,20.8,17.5,1020.0,5289,Medium
43.7,94.2,12.0,23.9,1011.8,8370,Medium
55.1,72.3,25.2,7.7,996.3,4811,Medium
73.7,88.8,16.1,29.0,1023.6,6369,High
39.1,56.1,7.5,16.8,986.7,1747,Medium
95.7,50.1,9.5,3.5,1006.8,5491,High
49.8,97.5,32.9,29.5,1018.6,7910,Medium
59.1,98.0,16.1,10.5,1018.0,7481,Medium
73.5,79.6,8.5,20.9,1001.9,4552,High
94.9,53.2,19.9,15.7,1009.1,7764,High
1.9,63.5,20.1,5.1,996.4,5074,Low
98.7,99.4,11.1,3.8,1000.9,1250,High
8.8,74.2,24.0,6.8,1000.9,8201,Low
20.4,71.4,34.5,22.0,1010.4,4431,Low
34.4,62.3,31.9,0.5,984.1,7758,Medium
26.8,80.4,16.8,13.0,981.8,1068,Medium
4.8,98.1,24.9,16.8,1012.4,4705,Medium
27.8,49.6,5.2,10.4,1017.8,5627,Low
41.5,71.9,16.9,13.7,983.9,6944,Medium
31.3,54.0,13.0,9.1,1006.9,535,Medium
35.7,40.7,24.0,13.6,1017.6,1390,Medium
26.8,43.1,14.1,24.3,1013.2,5204,Low
43.4,85.8,17.2,26.6,992.2,3296,Medium
22.8,98.3,5.8,25.9,995.9,6848,Medium
17.5,65.3,5.6,10.2,1019.9,9583,Low
94.8,69.7,17.3,14.2,1023.2,9286,High
34.2,57.5,32.9,27.2,1010.4,7273,Medium
20.7,76.1,29.7,15.6,986.4,3090,Low
13.1,66.9,7.0,5.6,982.6,7833,Low
26.8,73.7,7.9,21.7,1000.3,3236,Low
9.1,40.5,31.1,8.9,986.7,2176,Low
50.3,80.2,12.6,4.5,995.2,960,Medium
94.1,40.3,27.6,1.0,1009.8,6909,High
93.8,67.7,12.0,12.5,984.0,2743,High
24.9,83.7,6.8,16.7,1018.1,1352,Medium
62.3,53.2,13.0,2.0,1017.3,2793,High
14.0,79.7,25.0,5.3,995.3,7080,Low
73.4,99.6,28.6,1.8,986.3,5979,High
35.0,50.1,20.8,27.5,1018.3,2253,Medium
89.3,57.1,13.0,11.9,980.0,6479,High
20.8,65.4,33.2,10.0,987.9,2007,Low
50.9,93.6,14.4,23.0,984.2,6031,Medium
55.2,69.3,26.8,7.5,1007.5,3770,Medium
50.5,70.0,15.4,12.6,1020.0,600,Medium
42.4,56.9,17.6,27.7,1014.1,8686,Medium
97.8,90.1,29.6,24.2,1020.7,3583,High
98.7,79.7,33.2,4.8,1010.0,5021,High
53.4,62.2,25.2,8.7,1024.2,7169,Medium
33.1,96.5,10.1,20.8,1012.4,6512,Medium
89.3,70.8,33.0,16.6,1012.6,9370,High
73.1,51.2,23.5,24.4,1006.8,7046,High
28.3,60.0,5.3,20.9,986.1,5413,Low
36.7,72.9,13.1,14.6,995.7,2714,Medium
89.8,98.1,16.9,24.6,1021.6,6795,High
79.2,99.9,11.2,11.0,992.7,3381,High
7.2,90.0,28.6,1.0,990.8,7365,Medium
23.8,45.0,27.6,4.9,992.8,4984,Low
71.7,71.8,25.0,14.9,1022.9,4223,High
75.9,83.6,30.6,16.5,998.6,9201,High
